"id";"name";"abbreviated_name";"is_abbreviated";"position";"is_department";"year";"ministry";"person_id"
1677;"Peter Christopher Norgaard";"P. C. Norgaard";FALSE;"fuldmægtig";TRUE;1873;"indenrigsministeriet";355
1678;"Ludvig Christian Borup";"L. C. Borup";FALSE;"fuldmægtig";TRUE;1873;"indenrigsministeriet";292
1687;"C. P. M. Bache";"C. P. M. Bache";TRUE;"departementschef";TRUE;1873;"indenrigsministeriet";328
1680;"Frederik Christian Heinrich Emil Tobiesen";"F. C. H. E. Tobiesen";FALSE;"departementschef";TRUE;1873;"indenrigsministeriet";356
1681;"Vilhelm Borup";"V. Borup";FALSE;"fuldmægtig";TRUE;1873;"indenrigsministeriet";346
1682;"Nicolai Emil Hansen";"N. E. Hansen";FALSE;"fuldmægtig";TRUE;1873;"indenrigsministeriet";333
6768;"Vilhelm Emil Mathias Peterson";"V. E. M. Peterson";FALSE;"kontorchef";TRUE;1873;"justitsministeriet";357
1675;"Oluf Absalon Bogh";"O. A. Bogh";FALSE;"fuldmægtig";TRUE;1873;"indenrigsministeriet";338
6769;"Frederik Jacob Gregorius Hjelm Klauman";"F. J. G. H. Klauman";FALSE;"fuldmægtig";TRUE;1873;"justitsministeriet";343
1683;"Eduard Johan Wahl";"E. J. Wahl";FALSE;"kontorchef";TRUE;1873;"indenrigsministeriet";339
1684;"George Frederik Tillisch";"G. F. Tillisch";FALSE;"fuldmægtig";TRUE;1873;"indenrigsministeriet";336
1685;"I. F. Bardenfleth";"I. F. Bardenfleth";TRUE;"fuldmægtig";TRUE;1873;"indenrigsministeriet";331
6767;"Christian Emanuel Frits Reinhardt";"C. E. F. Reinhardt";FALSE;"kontorchef";FALSE;1873;"justitsministeriet";245
335;"Ditlev Georg Ludvig Lindberg";"D. G. L. Lindberg";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";317
337;"Lauritz Christian Bentzen";"L. C. Bentzen";FALSE;"kontorchef";FALSE;1874;"finansministeriet";319
334;"C. F. Krabbe";"C. F. Krabbe";TRUE;"kontorchef";FALSE;1874;"finansministeriet";295
333;"Christian Frederik Gede";"C. F. Gede";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";294
332;"Thorolf Valdemar Boesen";"T. V. Boesen";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";296
338;"Johan Christian Valeur Fritz";"J. C. V. Fritz";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";320
339;"Carl Jacob Hertel Riise";"C. J. H. Riise";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";321
340;"Hans Henrik Thomsen";"H. H. Thomsen";FALSE;"kontorchef";FALSE;1874;"finansministeriet";313
341;"I. Jetsmark";"I. Jetsmark";TRUE;"departementschef";FALSE;1874;"finansministeriet";289
342;"Frederik Ferdinand Nielsen";"F. F. Nielsen";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";269
336;"Christian Frederik Koefoed";"C. F. Koefoed";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";318
343;"Falck Frederik Carl Heilbuth";"F. F. C. Heilbuth";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";352
1436;"Peter Frederik Schön";"P. F. Schön";FALSE;"kontorchef";TRUE;1874;"indenrigsministeriet";329
1435;"George Frederik Tillisch";"G. F. Tillisch";FALSE;"fuldmægtig";TRUE;1874;"indenrigsministeriet";336
1434;"Jens Georg Sørensen";"J. G. Sørensen";FALSE;"fuldmægtig";TRUE;1874;"indenrigsministeriet";358
1433;"Eduard Johan Wah";"E. J. Wah";FALSE;"kontorchef";TRUE;1874;"indenrigsministeriet";339
1432;"Nicolai Emil Hansen";"N. E. Hansen";FALSE;"fuldmægtig";TRUE;1874;"indenrigsministeriet";333
1431;"Wilhelm Borup";"W. Borup";FALSE;"fuldmægtig";TRUE;1874;"indenrigsministeriet";346
1430;"P. G. T. Birk";"P. G. T. Birk";TRUE;"kontorchef";TRUE;1874;"indenrigsministeriet";337
